id,topic,sub_topic,question,correct_answer,distractor_1,distractor_2,distractor_3,explanation,difficulty
d62aae18,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [50, 16, 91, 87, 45, 49, 18, 33]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[16, 50, 87, 45, 49, 18, 33, 91]","[50, 16, 91, 87, 45, 49, 18, 33]","[16, 18, 33, 45, 49, 50, 87, 91]","[18, 33, 87, 49, 45, 16, 50, 91]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
622b2642,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [85, 96, 16, 41, 90]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[16, 41, 85, 90, 96]","[85, 96, 16, 41, 90]","[16, 41, 85, 90, 96]","[96, 90, 16, 85, 41]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
ca46f4ed,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [52, 55, 91, 23, 80]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[23, 52, 55, 80, 91]","[52, 55, 91, 23, 80]","[23, 52, 55, 80, 91]","[23, 52, 80, 55, 91]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
687d0772,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(17), Push(3), Pop(), Push(16), Push(9). What is the element at the TOP of the stack after these operations?",9,17,10,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
f9591ccb,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(9), Pop(), Push(11), Push(7), Pop(), Push(11). What is the element at the TOP of the stack after these operations?",11,11,12,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
4fdfe26a,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [47, 37, 58, 57, 86]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[37, 47, 57, 58, 86]","[47, 37, 58, 57, 86]","[37, 47, 57, 58, 86]","[57, 86, 37, 47, 58]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
ff10f5ef,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(3), Push(16), Push(19), Pop(), Push(3), Pop(), Push(7). What is the element at the TOP of the stack after these operations?",7,3,8,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
1644936c,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [94, 33, 30, 17, 47, 19, 58]. Perform Bubble Sort. What is the exact state of the array after the completion of 5 full pass(es)?","[17, 19, 30, 33, 47, 58, 94]","[94, 33, 30, 17, 47, 19, 58]","[17, 19, 30, 33, 47, 58, 94]","[58, 47, 94, 17, 33, 19, 30]","After 5 passes of Bubble Sort, the largest 5 elements effectively 'bubble' to the end in sorted order.",Medium
870889df,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [47, 77, 57, 87, 22]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[47, 57, 77, 22, 87]","[47, 77, 57, 87, 22]","[22, 47, 57, 77, 87]","[47, 77, 57, 22, 87]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
0cd340dd,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [41, 34, 35, 6, 7, 42]. What is the Preorder traversal sequence of the resulting tree?","[41, 34, 6, 7, 35, 42]","[7, 6, 35, 34, 42, 41]","[41, 34, 35, 6, 7, 42]","[42, 41, 35, 34, 7, 6]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
c5c59b46,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [26, 29, 38, 17, 8, 33]. What is the Inorder traversal sequence of the resulting tree?","[8, 17, 26, 29, 33, 38]","[26, 17, 8, 29, 38, 33]","[26, 29, 38, 17, 8, 33]","[38, 33, 29, 26, 17, 8]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
4411ecda,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(2), Pop(), Push(13), Push(20). What is the element at the TOP of the stack after these operations?",20,13,21,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
e2683e5a,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(12), Pop(), Push(7), Pop(), Push(15), Pop(), Push(15). What is the element at the TOP of the stack after these operations?",15,15,16,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
cb2e1c93,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(9), Push(14), Pop(), Push(12), Push(20), Push(19). What is the element at the TOP of the stack after these operations?",19,9,20,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
a1ced90f,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [44, 40, 31, 18, 58]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[18, 31, 40, 44, 58]","[44, 40, 31, 18, 58]","[18, 31, 40, 44, 58]","[18, 40, 58, 31, 44]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
3a943c48,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(19), Push(20), Pop(), Pop(), Push(18), Push(4). What is the element at the TOP of the stack after these operations?",4,18,5,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
825ab8a7,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [33, 44, 29, 20, 13]. What is the Inorder traversal sequence of the resulting tree?","[13, 20, 29, 33, 44]","[33, 29, 20, 13, 44]","[33, 44, 29, 20, 13]","[44, 33, 29, 20, 13]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
4e290822,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [75, 48, 12, 92, 18, 71, 78, 35]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[12, 18, 48, 35, 71, 75, 78, 92]","[75, 48, 12, 92, 18, 71, 78, 35]","[12, 18, 35, 48, 71, 75, 78, 92]","[92, 78, 71, 75, 18, 12, 35, 48]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
8e06d9de,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [44, 47, 14, 5, 35]. What is the Preorder traversal sequence of the resulting tree?","[44, 14, 5, 35, 47]","[5, 35, 14, 47, 44]","[44, 47, 14, 5, 35]","[47, 44, 35, 14, 5]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
986fc5a8,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [47, 21, 76, 12, 82, 59, 31]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[21, 12, 47, 59, 31, 76, 82]","[47, 21, 76, 12, 82, 59, 31]","[12, 21, 31, 47, 59, 76, 82]","[59, 76, 47, 82, 21, 12, 31]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
7b7300c0,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [15, 72, 76, 78, 86, 52]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[15, 52, 72, 76, 78, 86]","[15, 72, 76, 78, 86, 52]","[15, 52, 72, 76, 78, 86]","[72, 78, 52, 86, 15, 76]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
a3d20917,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [28, 30, 43, 1, 27, 23, 49]. What is the Postorder traversal sequence of the resulting tree?","[23, 27, 1, 49, 43, 30, 28]","[28, 1, 27, 23, 30, 43, 49]","[28, 30, 43, 1, 27, 23, 49]","[49, 43, 30, 28, 27, 23, 1]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
3bd38a8b,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(5), Push(2), Pop(), Push(19), Push(14), Push(8), Push(12). What is the element at the TOP of the stack after these operations?",12,5,13,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
920e5bbb,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [92, 88, 66, 76, 91, 96, 14]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[66, 76, 88, 14, 91, 92, 96]","[92, 88, 66, 76, 91, 96, 14]","[14, 66, 76, 88, 91, 92, 96]","[96, 92, 76, 91, 88, 66, 14]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
d9fbb041,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [73, 34, 51, 35, 97]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[34, 35, 51, 73, 97]","[73, 34, 51, 35, 97]","[34, 35, 51, 73, 97]","[51, 73, 97, 35, 34]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
53ec9692,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [13, 8, 41, 25, 27]. What is the Inorder traversal sequence of the resulting tree?","[8, 13, 25, 27, 41]","[13, 8, 41, 25, 27]","[13, 8, 41, 25, 27]","[41, 27, 25, 13, 8]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
c639d99b,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [16, 63, 90, 25, 49, 69, 52, 27]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[16, 25, 49, 52, 27, 63, 69, 90]","[16, 63, 90, 25, 49, 69, 52, 27]","[16, 25, 27, 49, 52, 63, 69, 90]","[90, 27, 16, 52, 63, 49, 69, 25]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
49b1af71,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(20), Pop(), Push(8), Push(13). What is the element at the TOP of the stack after these operations?",13,8,14,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
e4546a83,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [40, 19, 30, 16, 25, 35]. What is the Inorder traversal sequence of the resulting tree?","[16, 19, 25, 30, 35, 40]","[40, 19, 16, 30, 25, 35]","[40, 19, 30, 16, 25, 35]","[40, 35, 30, 25, 19, 16]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
0a103a65,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(1), Pop(), Push(15), Push(1), Pop(). What is the element at the TOP of the stack after these operations?",15,15,16,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
4fc5ac46,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [91, 34, 54, 45, 42, 75, 22, 70]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[34, 54, 45, 42, 75, 22, 70, 91]","[91, 34, 54, 45, 42, 75, 22, 70]","[22, 34, 42, 45, 54, 70, 75, 91]","[70, 91, 54, 34, 45, 75, 22, 42]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
9992ebbb,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [76, 87, 38, 61, 88]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[76, 38, 61, 87, 88]","[76, 87, 38, 61, 88]","[38, 61, 76, 87, 88]","[61, 38, 87, 76, 88]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
450214f2,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [14, 92, 42, 90, 96, 79, 37, 84]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[14, 42, 90, 92, 79, 37, 84, 96]","[14, 92, 42, 90, 96, 79, 37, 84]","[14, 37, 42, 79, 84, 90, 92, 96]","[79, 14, 96, 92, 84, 37, 90, 42]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
7a5b577a,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [43, 9, 13, 40, 23, 49]. What is the Preorder traversal sequence of the resulting tree?","[43, 9, 13, 40, 23, 49]","[23, 40, 13, 9, 49, 43]","[43, 9, 13, 40, 23, 49]","[49, 43, 40, 23, 13, 9]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
b2639210,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(16), Pop(), Push(3), Pop(), Push(14), Push(8). What is the element at the TOP of the stack after these operations?",8,14,9,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
653c854d,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [98, 67, 63, 19, 37, 55, 40, 92]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[63, 19, 37, 55, 40, 67, 92, 98]","[98, 67, 63, 19, 37, 55, 40, 92]","[19, 37, 40, 55, 63, 67, 92, 98]","[67, 19, 37, 40, 92, 63, 55, 98]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
be9e094a,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [69, 97, 56, 62, 37, 67, 63]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[56, 37, 62, 63, 67, 69, 97]","[69, 97, 56, 62, 37, 67, 63]","[37, 56, 62, 63, 67, 69, 97]","[62, 56, 63, 67, 97, 69, 37]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
3c2955ae,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(19), Push(4), Push(3), Push(16), Pop(). What is the element at the TOP of the stack after these operations?",3,19,4,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
3ba9d8d7,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(8), Push(12), Push(12), Pop(), Pop(). What is the element at the TOP of the stack after these operations?",8,8,9,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
ae907dd2,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(1), Pop(), Push(2), Push(2), Push(7), Push(16), Pop(). What is the element at the TOP of the stack after these operations?",7,2,8,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
b59c483e,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(15), Pop(), Push(9), Push(20). What is the element at the TOP of the stack after these operations?",20,9,21,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
e15c6ab2,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [16, 38, 5, 33, 4, 34, 40]. What is the Preorder traversal sequence of the resulting tree?","[16, 5, 4, 38, 33, 34, 40]","[4, 5, 34, 33, 40, 38, 16]","[16, 38, 5, 33, 4, 34, 40]","[40, 38, 34, 33, 16, 5, 4]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
a38148ca,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [29, 45, 15, 16, 14]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[29, 15, 16, 14, 45]","[29, 45, 15, 16, 14]","[14, 15, 16, 29, 45]","[16, 14, 45, 29, 15]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
c3884a88,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [39, 26, 7, 8, 34, 41, 45]. What is the Inorder traversal sequence of the resulting tree?","[7, 8, 26, 34, 39, 41, 45]","[39, 26, 7, 8, 34, 41, 45]","[39, 26, 7, 8, 34, 41, 45]","[45, 41, 39, 34, 26, 8, 7]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
2dc77220,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [96, 65, 13, 49, 94, 86, 58, 60]. Perform Bubble Sort. What is the exact state of the array after the completion of 5 full pass(es)?","[13, 49, 58, 60, 65, 86, 94, 96]","[96, 65, 13, 49, 94, 86, 58, 60]","[13, 49, 58, 60, 65, 86, 94, 96]","[65, 58, 94, 86, 96, 49, 13, 60]","After 5 passes of Bubble Sort, the largest 5 elements effectively 'bubble' to the end in sorted order.",Medium
ae2d1dac,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [10, 48, 13, 3, 21]. What is the Inorder traversal sequence of the resulting tree?","[3, 10, 13, 21, 48]","[10, 3, 48, 13, 21]","[10, 48, 13, 3, 21]","[48, 21, 13, 10, 3]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
441bde71,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [34, 20, 3, 19, 4, 45]. What is the Inorder traversal sequence of the resulting tree?","[3, 4, 19, 20, 34, 45]","[34, 20, 3, 19, 4, 45]","[34, 20, 3, 19, 4, 45]","[45, 34, 20, 19, 4, 3]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
23607de1,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(4), Push(6), Push(13), Push(14), Push(16). What is the element at the TOP of the stack after these operations?",16,4,17,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
ffffd21e,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [49, 30, 47, 35, 26, 20, 32]. What is the Postorder traversal sequence of the resulting tree?","[20, 26, 32, 35, 47, 30, 49]","[49, 30, 26, 20, 47, 35, 32]","[49, 30, 47, 35, 26, 20, 32]","[49, 47, 35, 32, 30, 26, 20]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
ded5579f,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [36, 28, 10, 11, 44, 12]. What is the Postorder traversal sequence of the resulting tree?","[12, 11, 10, 28, 44, 36]","[36, 28, 10, 11, 12, 44]","[36, 28, 10, 11, 44, 12]","[44, 36, 28, 12, 11, 10]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
a8c6d1f9,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [26, 49, 9, 14, 24, 43]. What is the Postorder traversal sequence of the resulting tree?","[24, 14, 9, 43, 49, 26]","[26, 9, 14, 24, 49, 43]","[26, 49, 9, 14, 24, 43]","[49, 43, 26, 24, 14, 9]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
a0b731fa,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [28, 80, 27, 75, 84, 72]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[27, 28, 72, 75, 80, 84]","[28, 80, 27, 75, 84, 72]","[27, 28, 72, 75, 80, 84]","[27, 84, 28, 80, 72, 75]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
f3eabe4e,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [97, 77, 74, 13, 34]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[77, 74, 13, 34, 97]","[97, 77, 74, 13, 34]","[13, 34, 74, 77, 97]","[13, 34, 74, 77, 97]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
6b4fa746,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [27, 24, 12, 45, 6]. What is the Preorder traversal sequence of the resulting tree?","[27, 24, 12, 6, 45]","[6, 12, 24, 45, 27]","[27, 24, 12, 45, 6]","[45, 27, 24, 12, 6]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
9ef97262,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [16, 40, 31, 44, 43, 2]. What is the Preorder traversal sequence of the resulting tree?","[16, 2, 40, 31, 44, 43]","[2, 31, 43, 44, 40, 16]","[16, 40, 31, 44, 43, 2]","[44, 43, 40, 31, 16, 2]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
6fb031a6,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [6, 9, 41, 26, 24, 33]. What is the Postorder traversal sequence of the resulting tree?","[24, 33, 26, 41, 9, 6]","[6, 9, 41, 26, 24, 33]","[6, 9, 41, 26, 24, 33]","[41, 33, 26, 24, 9, 6]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
7e2af7e3,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [25, 18, 15, 28, 19, 34, 1]. What is the Preorder traversal sequence of the resulting tree?","[25, 18, 15, 1, 19, 28, 34]","[1, 15, 19, 18, 34, 28, 25]","[25, 18, 15, 28, 19, 34, 1]","[34, 28, 25, 19, 18, 15, 1]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
71106b98,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [34, 6, 11, 47, 8, 41, 21]. What is the Inorder traversal sequence of the resulting tree?","[6, 8, 11, 21, 34, 41, 47]","[34, 6, 11, 8, 21, 47, 41]","[34, 6, 11, 47, 8, 41, 21]","[47, 41, 34, 21, 11, 8, 6]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
d0680ff5,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [39, 29, 45, 25, 10, 33]. What is the Preorder traversal sequence of the resulting tree?","[39, 29, 25, 10, 33, 45]","[10, 25, 33, 29, 45, 39]","[39, 29, 45, 25, 10, 33]","[45, 39, 33, 29, 25, 10]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
0ece4c52,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [25, 54, 95, 36, 40, 44, 52, 16]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[25, 54, 36, 40, 44, 52, 16, 95]","[25, 54, 95, 36, 40, 44, 52, 16]","[16, 25, 36, 40, 44, 52, 54, 95]","[36, 16, 40, 52, 44, 95, 25, 54]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
57ff6816,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [43, 34, 71, 30, 58]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[34, 30, 43, 58, 71]","[43, 34, 71, 30, 58]","[30, 34, 43, 58, 71]","[34, 58, 43, 71, 30]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
a7cf049a,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [39, 62, 29, 78, 46, 19]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[29, 39, 46, 19, 62, 78]","[39, 62, 29, 78, 46, 19]","[19, 29, 39, 46, 62, 78]","[78, 29, 62, 39, 19, 46]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
